,supply,return
2018-03-19T06:30:00Z,"65.28854,","64.51114,"
2018-03-19T07:00:00Z,"64.95612,","64.16514,"
2018-03-19T07:30:00Z,"64.64666,","63.8441353,"
2018-03-19T08:00:00Z,"99.97485,","97.13828,"
2018-03-19T08:30:00Z,"84.284935,","82.99033,"
2018-03-19T09:00:00Z,"76.4167938,","75.3663,"
2018-03-19T09:30:00Z,"71.82064,","70.86392,"
2018-03-19T10:00:00Z,"68.9015961,","67.9783249,"
2018-03-19T10:30:00Z,"66.9120941,","66.10912,"
2018-03-19T11:00:00Z,"67.37361,","66.35846,"
2018-03-19T11:30:00Z,"121.661613,","104.691231,"
2018-03-19T12:00:00Z,"138.725632,","120.32962,"
2018-03-19T12:30:00Z,"149.2377,","127.083145,"
2018-03-19T13:00:00Z,"117.233345,","114.180672,"
2018-03-19T13:30:00Z,"96.52634,","95.08634,"
2018-03-19T14:00:00Z,"85.84789,","84.7255859,"
2018-03-19T14:30:00Z,"80.01967,","79.0414658,"
2018-03-19T15:00:00Z,"76.63407,","75.7079544,"
2018-03-19T15:30:00Z,"74.4442444,","73.65573,"
2018-03-19T16:00:00Z,"73.13778,","72.28101,"
2018-03-19T16:30:00Z,"72.2565155,","71.48419,"
2018-03-19T17:00:00Z,"71.852,","71.096,"
2018-03-19T17:30:00Z,"71.78,","71.024,"
2018-03-19T18:00:00Z,"71.75232,","71.024,"
2018-03-19T18:30:00Z,"71.84267,","71.116806,"
2018-03-19T19:00:00Z,"72.09955,","71.4074,"
2018-03-19T19:30:00Z,"72.536,","71.79816,"
2018-03-19T20:00:00Z,"72.923996,","72.1750641,"
2018-03-19T20:30:00Z,"73.2318039,","72.48103,"
2018-03-19T21:00:00Z,"73.3378,","72.644,"
2018-03-19T21:30:00Z,"73.328,","72.644,"
2018-03-19T22:00:00Z,"73.4428,","72.716,"
2018-03-19T22:30:00Z,"73.4302,","72.6918,"
2018-03-19T23:00:00Z,"73.184,","72.4537,"
2018-03-19T23:30:00Z,"72.75756,","72.02718,"
2018-03-20T00:00:00Z,"72.24181,","71.48877,"
2018-03-20T00:30:00Z,"71.6919861,","70.8862152,"
2018-03-20T01:00:00Z,"71.1146,","70.33685,"
2018-03-20T01:30:00Z,"70.6374,","69.87463,"
2018-03-20T02:00:00Z,"70.18799,","69.43084,"
2018-03-20T02:30:00Z,"69.7564,","68.99066,"
2018-03-20T03:00:00Z,"69.36414,","68.58249,"
2018-03-20T03:30:00Z,"68.9864044,","68.1782,"
2018-03-20T04:00:00Z,"68.648,","67.8704147,"
2018-03-20T04:30:00Z,"68.1962,","67.4791641,"
2018-03-20T05:00:00Z,"67.85488,","67.04434,"
2018-03-20T05:30:00Z,"67.532,","66.7675858,"
2018-03-20T06:00:00Z,"67.20992,","66.4442,"
2018-03-20T06:30:00Z,"66.88897,","66.1436,"
2018-03-20T07:00:00Z,"66.60401,","65.86525,"
2018-03-20T07:30:00Z,"66.3307,","65.54227,"
2018-03-20T08:00:00Z,"66.07818,","65.228,"
2018-03-20T08:30:00Z,"65.768,","65.0077,"
2018-03-20T09:00:00Z,"65.4872,","64.6851654,"
2018-03-20T09:30:00Z,"65.231926,","64.4333954,"
2018-03-20T10:00:00Z,"64.9297562,","64.148,"
2018-03-20T10:30:00Z,"64.667366,","63.86243,"
2018-03-20T11:00:00Z,"64.4143,","63.71579,"
2018-03-20T11:30:00Z,"117.190689,","99.4605,"
2018-03-20T12:00:00Z,"133.918442,","116.643326,"
2018-03-20T12:30:00Z,"146.2478,","126.744812,"
2018-03-20T13:00:00Z,"119.986458,","119.437294,"
2018-03-20T13:30:00Z,"120.976234,","117.250389,"
2018-03-20T14:00:00Z,"147.837875,","97.43354,"
2018-03-20T14:30:00Z,"106.728714,","104.820709,"
2018-03-20T15:00:00Z,"90.87073,","89.48115,"
2018-03-20T15:30:00Z,"81.97928,","80.85287,"
2018-03-20T16:00:00Z,"82.35724,","82.05462,"
2018-03-20T16:30:00Z,"95.1298141,","82.57272,"
2018-03-20T17:00:00Z,"129.02,","111.202438,"
2018-03-20T17:30:00Z,"148.044739,","93.84071,"
2018-03-20T18:00:00Z,"105.266983,","103.409492,"
2018-03-20T18:30:00Z,"89.41274,","88.12253,"
2018-03-20T19:00:00Z,"89.463295,","87.43974,"
2018-03-20T19:30:00Z,"82.19951,","79.49189,"
2018-03-20T20:00:00Z,"139.028564,","89.37587,"
2018-03-20T20:30:00Z,"105.807091,","103.949547,"
2018-03-20T21:00:00Z,"129.356049,","111.0944,"
2018-03-20T21:30:00Z,"96.59837,","95.01434,"
2018-03-20T22:00:00Z,"125.36673,","107.967316,"
2018-03-20T22:30:00Z,"131.392441,","115.243652,"
2018-03-20T23:00:00Z,"120.161057,","119.526794,"
2018-03-20T23:30:00Z,"116.984764,","116.29245,"
2018-03-21T00:00:00Z,"97.5342941,","95.48349,"
2018-03-21T00:30:00Z,"89.53517,","88.20678,"
2018-03-21T01:00:00Z,"80.70079,","79.57038,"
2018-03-21T01:30:00Z,"75.27991,","74.28428,"
2018-03-21T02:00:00Z,"71.69337,","70.7863846,"
2018-03-21T02:30:00Z,"69.30648,","68.40597,"
2018-03-21T03:00:00Z,"67.57609,","66.7278748,"
2018-03-21T03:30:00Z,"66.35734,","65.51429,"
2018-03-21T04:00:00Z,"65.37662,","64.55012,"
2018-03-21T04:30:00Z,"64.62669,","63.84009,"
2018-03-21T05:00:00Z,"69.80718,","68.56195,"
2018-03-21T05:30:00Z,"66.95239,","66.1349,"
2018-03-21T06:00:00Z,"67.5034256,","66.50257,"
2018-03-21T06:30:00Z,"67.74466,","66.18493,"
2018-03-21T07:00:00Z,"113.805359,","66.67045,"
2018-03-21T07:30:00Z,"92.5228958,","90.6943,"
2018-03-21T08:00:00Z,"80.2183151,","79.00516,"
2018-03-21T08:30:00Z,"73.452774,","72.44958,"
2018-03-21T09:00:00Z,"69.328186,","68.41125,"
2018-03-21T09:30:00Z,"66.70682,","65.8261948,"
2018-03-21T10:00:00Z,"67.93509,","65.41549,"
2018-03-21T10:30:00Z,"102.538269,","100.493629,"
2018-03-21T11:00:00Z,"146.204926,","83.5367355,"
2018-03-21T11:30:00Z,"133.527359,","114.533676,"
2018-03-21T12:00:00Z,"144.708878,","126.382652,"
2018-03-21T12:30:00Z,"135.370468,","120.41671,"
2018-03-21T13:00:00Z,"125.642883,","124.989487,"
2018-03-21T13:30:00Z,"132.995712,","114.248085,"
2018-03-21T14:00:00Z,"140.352875,","109.046982,"
2018-03-21T14:30:00Z,"130.385376,","106.224609,"
2018-03-21T15:00:00Z,"121.271812,","107.3695,"
2018-03-21T15:30:00Z,"109.637535,","107.693535,"
2018-03-21T16:00:00Z,"109.133255,","100.680771,"
2018-03-21T16:30:00Z,"115.395866,","88.4983749,"
2018-03-21T17:00:00Z,"105.56237,","103.762375,"
2018-03-21T17:30:00Z,"129.983429,","112.195427,"
2018-03-21T18:00:00Z,"97.89432,","96.34631,"
2018-03-21T18:30:00Z,"85.97981,","84.77021,"
2018-03-21T19:00:00Z,"81.86698,","80.21134,"
2018-03-21T19:30:00Z,"102.678787,","101.134384,"
2018-03-21T20:00:00Z,"88.30975,","87.03319,"
2018-03-21T20:30:00Z,"124.75045,","106.145676,"
2018-03-21T21:00:00Z,"95.0935745,","93.65177,"
2018-03-21T21:30:00Z,"106.246384,","104.687576,"
2018-03-21T22:00:00Z,"129.517014,","112.206604,"
2018-03-21T22:30:00Z,"98.41273,","96.86472,"
2018-03-21T23:00:00Z,"109.234329,","107.531494,"
2018-03-21T23:30:00Z,"110.6743,","108.852592,"
2018-03-22T00:00:00Z,"114.64949,","113.042923,"
2018-03-22T00:30:00Z,"94.82705,","93.3727,"
2018-03-22T01:00:00Z,"83.86571,","82.67503,"
2018-03-22T01:30:00Z,"77.37679,","76.33039,"
2018-03-22T02:00:00Z,"73.13469,","72.18973,"
2018-03-22T02:30:00Z,"70.22559,","69.3528,"
2018-03-22T03:00:00Z,"68.29465,","67.40144,"
2018-03-22T03:30:00Z,"66.8020248,","66.02066,"
2018-03-22T04:00:00Z,"65.7366257,","64.90939,"
2018-03-22T04:30:00Z,"64.8579559,","64.08269,"
2018-03-22T05:00:00Z,"73.65196,","71.09189,"
2018-03-22T05:30:00Z,"70.57299,","69.5873,"
2018-03-22T06:00:00Z,"109.609016,","94.75521,"
2018-03-22T06:30:00Z,"87.16637,","85.6495743,"
2018-03-22T07:00:00Z,"103.956673,","102.070335,"
2018-03-22T07:30:00Z,"86.85667,","85.47433,"
2018-03-22T08:00:00Z,"77.4334,","76.30878,"
2018-03-22T08:30:00Z,"99.98934,","97.87267,"
2018-03-22T09:00:00Z,"84.55276,","83.24381,"
2018-03-22T09:30:00Z,"75.92719,","74.79589,"
2018-03-22T10:00:00Z,"116.7402,","91.02664,"
2018-03-22T10:30:00Z,"87.5263443,","85.89376,"
2018-03-22T11:00:00Z,"104.201263,","100.692863,"
2018-03-22T11:30:00Z,"135.3632,","116.621658,"
2018-03-22T12:00:00Z,"148.551224,","127.3237,"
2018-03-22T12:30:00Z,"139.150528,","119.206345,"
2018-03-22T13:00:00Z,"136.825027,","117.513306,"
2018-03-22T13:30:00Z,"103.762383,","102.048767,"
2018-03-22T14:00:00Z,"89.600174,","87.839,"
2018-03-22T14:30:00Z,"86.05033,","84.67517,"
2018-03-22T15:00:00Z,"79.23992,","78.24434,"
2018-03-22T15:30:00Z,"75.33544,","74.36335,"
2018-03-22T16:00:00Z,"72.93018,","72.0301361,"
2018-03-22T16:30:00Z,"71.3743057,","70.54505,"
2018-03-22T17:00:00Z,"70.3627243,","69.62823,"
2018-03-22T17:30:00Z,"69.7084,","68.94786,"
2018-03-22T18:00:00Z,"69.35147,","68.50739,"
2018-03-22T18:30:00Z,"69.07729,","68.29348,"
2018-03-22T19:00:00Z,"77.58876,","76.51828,"
2018-03-22T19:30:00Z,"73.88159,","73.00616,"
2018-03-22T20:00:00Z,"71.87419,","71.0422058,"
2018-03-22T20:30:00Z,"70.57259,","69.75405,"
2018-03-22T21:00:00Z,"93.20011,","80.89519,"
2018-03-22T21:30:00Z,"83.87549,","80.9634552,"
2018-03-22T22:00:00Z,"82.09749,","80.09817,"
2018-03-22T22:30:00Z,"133.467743,","82.04049,"
2018-03-22T23:00:00Z,"102.833496,","100.8175,"
2018-03-22T23:30:00Z,"140.645081,","87.1217346,"
2018-03-23T00:00:00Z,"103.733574,","101.818382,"
2018-03-23T00:30:00Z,"88.86557,","87.56777,"
2018-03-23T01:00:00Z,"80.48366,","79.4046249,"
2018-03-23T01:30:00Z,"75.43708,","74.4547958,"
2018-03-23T02:00:00Z,"72.0223846,","71.07748,"
2018-03-23T02:30:00Z,"69.68258,","68.80655,"
2018-03-23T03:00:00Z,"67.99062,","67.17849,"
2018-03-23T03:30:00Z,"66.79309,","65.99253,"
2018-03-23T04:00:00Z,"65.8648758,","65.084,"
2018-03-23T04:30:00Z,"65.12275,","64.2926254,"
2018-03-23T05:00:00Z,"64.5295944,","63.7211723,"
2018-03-23T05:30:00Z,"121.310143,","63.2166862,"
2018-03-23T06:00:00Z,"96.1717453,","94.3589859,"
2018-03-23T06:30:00Z,"82.1609344,","80.8894043,"
2018-03-23T07:00:00Z,"74.78236,","73.6815,"
2018-03-23T07:30:00Z,"124.073685,","104.597679,"
2018-03-23T08:00:00Z,"90.74463,","89.25431,"
2018-03-23T08:30:00Z,"104.266327,","102.347481,"
2018-03-23T09:00:00Z,"87.28864,","85.9783249,"
2018-03-23T09:30:00Z,"78.15677,","77.02877,"
2018-03-23T10:00:00Z,"72.67226,","71.653,"
2018-03-23T10:30:00Z,"92.00466,","91.03119,"
2018-03-23T11:00:00Z,"124.297058,","94.9110947,"
2018-03-23T11:30:00Z,"139.77681,","121.049637,"
2018-03-23T12:00:00Z,"139.625671,","127.548775,"
2018-03-23T12:30:00Z,"141.99353,","124.237808,"
2018-03-23T13:00:00Z,"114.698921,","112.66861,"
2018-03-23T13:30:00Z,"95.51838,","94.0496,"
2018-03-23T14:00:00Z,"85.07836,","83.95374,"
2018-03-23T14:30:00Z,"78.9727859,","77.9756,"
2018-03-23T15:00:00Z,"80.76703,","78.04757,"
2018-03-23T15:30:00Z,"77.5479,","76.46478,"
2018-03-23T16:00:00Z,"74.28774,","73.4097,"
2018-03-23T16:30:00Z,"72.42041,","71.57838,"
2018-03-23T17:00:00Z,"71.27473,","70.45412,"
2018-03-23T17:30:00Z,"70.47192,","69.6528854,"
2018-03-23T18:00:00Z,"69.9055939,","69.10119,"
2018-03-23T18:30:00Z,"69.5048,","68.6781158,"
2018-03-23T19:00:00Z,"69.0819244,","68.34114,"
2018-03-23T19:30:00Z,"68.84798,","68.1176,"
2018-03-23T20:00:00Z,"95.50544,","82.3964844,"
2018-03-23T20:30:00Z,"78.93075,","78.07729,"
2018-03-23T21:00:00Z,"74.8798447,","73.9525146,"
2018-03-23T21:30:00Z,"82.46463,","80.2588654,"
2018-03-23T22:00:00Z,"81.07155,","79.5248,"
2018-03-23T22:30:00Z,"114.209732,","102.340431,"
2018-03-23T23:00:00Z,"94.84866,","93.35833,"
2018-03-23T23:30:00Z,"111.199966,","108.003181,"
2018-03-24T00:00:00Z,"114.929253,","111.746941,"
2018-03-24T00:30:00Z,"94.7263,","93.2143,"
2018-03-24T01:00:00Z,"84.17015,","82.99278,"
2018-03-24T01:30:00Z,"77.89189,","76.89519,"
2018-03-24T02:00:00Z,"73.82521,","72.90834,"
2018-03-24T02:30:00Z,"71.12063,","70.21255,"
2018-03-24T03:00:00Z,"69.14271,","68.27997,"
2018-03-24T03:30:00Z,"67.70788,","66.87157,"
2018-03-24T04:00:00Z,"66.63922,","65.84,"
2018-03-24T04:30:00Z,"65.79345,","65.0125961,"
2018-03-24T05:00:00Z,"65.08319,","64.3454,"
2018-03-24T05:30:00Z,"64.5644,","63.73032,"
2018-03-24T06:00:00Z,"69.9737244,","66.69657,"
2018-03-24T06:30:00Z,"68.8243942,","66.1609344,"
2018-03-24T07:00:00Z,"67.647316,","65.7512,"
2018-03-24T07:30:00Z,"67.42588,","66.1439743,"
2018-03-24T08:00:00Z,"105.735451,","94.3592758,"
2018-03-24T08:30:00Z,"89.55676,","88.1023254,"
2018-03-24T09:00:00Z,"107.55941,","105.547852,"
2018-03-24T09:30:00Z,"116.873367,","104.504593,"
2018-03-24T10:00:00Z,"97.88,","96.1735,"
2018-03-24T10:30:00Z,"83.95518,","82.60302,"
2018-03-24T11:00:00Z,"75.98479,","74.9047852,"
2018-03-24T11:30:00Z,"71.18792,","70.13953,"
2018-03-24T12:00:00Z,"68.05694,","67.15068,"
2018-03-24T12:30:00Z,"103.344711,","102.346519,"
2018-03-24T13:00:00Z,"118.03257,","101.229324,"
2018-03-24T13:30:00Z,"97.85832,","96.0943146,"
2018-03-24T14:00:00Z,"87.01873,","87.39246,"
2018-03-24T14:30:00Z,"79.57033,","78.51916,"
2018-03-24T15:00:00Z,"74.95974,","74.0263,"
2018-03-24T15:30:00Z,"72.30299,","71.41039,"
2018-03-24T16:00:00Z,"70.70833,","69.82997,"
2018-03-24T16:30:00Z,"69.6795349,","68.94073,"
2018-03-24T17:00:00Z,"69.1077,","68.3744,"
2018-03-24T17:30:00Z,"68.792,","68.0404053,"
2018-03-24T18:00:00Z,"68.6426239,","67.8957,"
2018-03-24T18:30:00Z,"68.576,","67.892,"
2018-03-24T19:00:00Z,"68.576,","67.892,"
2018-03-24T19:30:00Z,"68.648,","67.928,"
2018-03-24T20:00:00Z,"68.792,","68.02769,"
2018-03-24T20:30:00Z,"68.864,","68.144,"
2018-03-24T21:00:00Z,"68.8647,","68.1187,"
2018-03-24T21:30:00Z,"68.792,","68.0117,"
2018-03-24T22:00:00Z,"68.5824,","67.7967,"
2018-03-24T22:30:00Z,"68.22984,","67.47865,"
2018-03-24T23:00:00Z,"67.8554,","67.0586,"
2018-03-24T23:30:00Z,"67.4291,","66.6914,"
2018-03-25T00:00:00Z,"67.03074,","66.2726,"
2018-03-25T00:30:00Z,"66.64326,","65.8764,"
2018-03-25T01:00:00Z,"66.2821655,","65.5177,"
2018-03-25T01:30:00Z,"65.85277,","65.0876,"
2018-03-25T02:00:00Z,"65.4904,","64.6946,"
2018-03-25T02:30:00Z,"65.06427,","64.29685,"
2018-03-25T03:00:00Z,"64.64939,","63.8649673,"
2018-03-25T03:30:00Z,"64.77261,","63.4987679,"
2018-03-25T04:00:00Z,"117.242462,","66.3026047,"
2018-03-25T04:30:00Z,"92.30348,","90.40637,"
2018-03-25T05:00:00Z,"109.745132,","107.394829,"
2018-03-25T05:30:00Z,"151.656754,","89.42714,"
2018-03-25T06:00:00Z,"99.14718,","97.28956,"
2018-03-25T06:30:00Z,"84.461,","83.1991959,"
2018-03-25T07:00:00Z,"76.29429,","75.20986,"
2018-03-25T07:30:00Z,"71.26547,","70.30706,"
2018-03-25T08:00:00Z,"136.466812,","66.98659,"
2018-03-25T08:30:00Z,"94.25831,","92.34292,"
2018-03-25T09:00:00Z,"128.148819,","108.132813,"
2018-03-25T09:30:00Z,"139.0658,","90.34877,"
2018-03-25T10:00:00Z,"132.019623,","98.5566254,"
2018-03-25T10:30:00Z,"105.590935,","103.502937,"
2018-03-25T11:00:00Z,"130.633011,","112.239227,"
2018-03-25T11:30:00Z,"95.06872,","93.50108,"
2018-03-25T12:00:00Z,"82.49942,","80.75046,"
2018-03-25T12:30:00Z,"98.62877,","97.1902161,"
2018-03-25T13:00:00Z,"94.27313,","86.07818,"
2018-03-25T13:30:00Z,"91.579895,","88.54876,"
2018-03-25T14:00:00Z,"80.93839,","79.76119,"
2018-03-25T14:30:00Z,"75.1417,","74.16936,"
2018-03-25T15:00:00Z,"71.77144,","70.84017,"
2018-03-25T15:30:00Z,"69.72235,","68.87185,"
2018-03-25T16:00:00Z,"68.4315262,","67.6228943,"
2018-03-25T16:30:00Z,"67.64345,","66.88284,"
2018-03-25T17:00:00Z,"67.14421,","66.40205,"
2018-03-25T17:30:00Z,"66.8213959,","66.056,"
2018-03-25T18:00:00Z,"66.632,","65.85561,"
2018-03-25T18:30:00Z,"66.4312439,","65.732,"
2018-03-25T19:00:00Z,"66.416,","65.696,"
2018-03-25T19:30:00Z,"66.5138,","65.79264,"
2018-03-25T20:00:00Z,"66.6923,","65.9348,"
2018-03-25T20:30:00Z,"66.8353,","66.1493,"
2018-03-25T21:00:00Z,"67.0777,","66.3836,"
2018-03-25T21:30:00Z,"67.3079,","66.6149,"
2018-03-25T22:00:00Z,"67.55208,","66.848,"
2018-03-25T22:30:00Z,"67.743576,","67.0078,"
2018-03-25T23:00:00Z,"68.4752,","67.676,"
2018-03-25T23:30:00Z,"67.9924,","67.2386,"
2018-03-26T00:00:00Z,"67.41984,","66.65522,"
2018-03-26T00:30:00Z,"66.7937,","66.0204,"
2018-03-26T01:00:00Z,"66.18874,","65.45924,"
2018-03-26T01:30:00Z,"65.6294,","64.8221,"
2018-03-26T02:00:00Z,"70.23678,","66.07747,"
2018-03-26T02:30:00Z,"68.216,","66.45819,"
2018-03-26T03:00:00Z,"97.6927261,","95.806366,"
2018-03-26T03:30:00Z,"83.43099,","82.16232,"
2018-03-26T04:00:00Z,"75.76199,","74.68933,"
2018-03-26T04:30:00Z,"111.812035,","98.4343948,"
2018-03-26T05:00:00Z,"125.760246,","111.725967,"
2018-03-26T05:30:00Z,"98.58548,","96.82864,"
2018-03-26T06:00:00Z,"84.74175,","83.47267,"
2018-03-26T06:30:00Z,"76.9783,","75.93437,"
2018-03-26T07:00:00Z,"72.20992,","71.23368,"
2018-03-26T07:30:00Z,"69.10559,","68.16886,"
2018-03-26T08:00:00Z,"66.94242,","66.10093,"
2018-03-26T08:30:00Z,"67.65477,","67.23587,"
2018-03-26T09:00:00Z,"114.52655,","101.427536,"
2018-03-26T09:30:00Z,"92.20637,","90.62236,"
2018-03-26T10:00:00Z,"80.2126,","79.02556,"
2018-03-26T10:30:00Z,"73.58899,","72.5759048,"
2018-03-26T11:00:00Z,"98.67917,","93.91806,"
2018-03-26T11:30:00Z,"136.400513,","115.707405,"
2018-03-26T12:00:00Z,"137.202728,","126.574463,"
2018-03-26T12:30:00Z,"145.097656,","121.056969,"
2018-03-26T13:00:00Z,"117.557343,","114.468674,"
2018-03-26T13:30:00Z,"119.774986,","116.045311,"
2018-03-26T14:00:00Z,"97.426384,","95.98634,"
2018-03-26T14:30:00Z,"86.47516,","85.32316,"
2018-03-26T15:00:00Z,"80.312645,","79.31446,"
2018-03-26T15:30:00Z,"76.58708,","75.73472,"
2018-03-26T16:00:00Z,"74.28166,","73.41491,"
2018-03-26T16:30:00Z,"72.73304,","71.9233856,"
2018-03-26T17:00:00Z,"71.69725,","70.92928,"
2018-03-26T17:30:00Z,"71.0524,","70.3064,"
2018-03-26T18:00:00Z,"70.68388,","69.9134,"
2018-03-26T18:30:00Z,"70.3862,","69.6602554,"
2018-03-26T19:00:00Z,"70.376,","69.584,"
2018-03-26T19:30:00Z,"70.4343,","69.7126,"
2018-03-26T20:00:00Z,"70.5616,","69.836,"
2018-03-26T20:30:00Z,"70.808,","70.0768,"
2018-03-26T21:00:00Z,"71.0014,","70.268,"
2018-03-26T21:30:00Z,"71.24,","70.5056,"
2018-03-26T22:00:00Z,"71.32447,","70.6478043,"
2018-03-26T22:30:00Z,"71.3264,","70.5914,"
2018-03-26T23:00:00Z,"71.0054,","70.25441,"
2018-03-26T23:30:00Z,"93.4495239,","92.062294,"
2018-03-27T00:00:00Z,"82.9313354,","81.83833,"
2018-03-27T00:30:00Z,"77.44901,","76.50762,"
2018-03-27T01:00:00Z,"74.067276,","73.1933441,"
2018-03-27T01:30:00Z,"71.76992,","70.92217,"
2018-03-27T02:00:00Z,"70.1744,","69.36378,"
2018-03-27T02:30:00Z,"69.07279,","68.2991,"
2018-03-27T03:00:00Z,"68.2073746,","67.43999,"
2018-03-27T03:30:00Z,"67.6123352,","66.84409,"
2018-03-27T04:00:00Z,"67.136,","66.416,"
2018-03-27T04:30:00Z,"66.6853943,","65.9244,"
2018-03-27T05:00:00Z,"66.3067,","65.550705,"
2018-03-27T05:30:00Z,"66.020195,","65.2642,"
2018-03-27T06:00:00Z,"65.7337,","64.976,"
2018-03-27T06:30:00Z,"65.4504852,","64.66173,"
2018-03-27T07:00:00Z,"65.1664,","64.378334,"
2018-03-27T07:30:00Z,"64.976,","64.18643,"
2018-03-27T08:00:00Z,"66.49455,","63.9743958,"
2018-03-27T08:30:00Z,"68.1730957,","66.7523956,"
2018-03-27T09:00:00Z,"67.6205,","66.0583954,"
2018-03-27T09:30:00Z,"67.58815,","66.6356,"
2018-03-27T10:00:00Z,"99.27679,","97.5307846,"
2018-03-27T10:30:00Z,"84.68233,","83.43317,"
2018-03-27T11:00:00Z,"76.87245,","75.4806,"
2018-03-27T11:30:00Z,"127.779205,","110.433212,"
2018-03-27T12:00:00Z,"144.426224,","124.14563,"
2018-03-27T12:30:00Z,"137.1565,","120.934296,"
2018-03-27T13:00:00Z,"115.059052,","113.436783,"
2018-03-27T13:30:00Z,"123.245659,","113.554428,"
2018-03-27T14:00:00Z,"100.234329,","98.57833,"
2018-03-27T14:30:00Z,"87.0151443,","85.77315,"
2018-03-27T15:00:00Z,"83.2827,","81.27666,"
2018-03-27T15:30:00Z,"118.9331,","100.356094,"
2018-03-27T16:00:00Z,"96.0943451,","94.52476,"
2018-03-27T16:30:00Z,"84.62386,","83.46558,"
2018-03-27T17:00:00Z,"82.4790649,","80.53162,"
2018-03-27T17:30:00Z,"115.44857,","101.422287,"
2018-03-27T18:00:00Z,"91.70237,","90.32356,"
2018-03-27T18:30:00Z,"82.2118,","81.11551,"
2018-03-27T19:00:00Z,"115.77211,","103.11438,"
2018-03-27T19:30:00Z,"93.9595642,","92.52314,"
2018-03-27T20:00:00Z,"84.04158,","82.91117,"
2018-03-27T20:30:00Z,"78.46877,","77.48171,"
2018-03-27T21:00:00Z,"75.0374756,","74.14535,"
2018-03-27T21:30:00Z,"72.7822342,","71.96025,"
2018-03-27T22:00:00Z,"71.27617,","70.49902,"
2018-03-27T22:30:00Z,"102.300713,","99.93554,"
2018-03-27T23:00:00Z,"88.00299,","86.743,"
2018-03-27T23:30:00Z,"80.58558,","79.57628,"
2018-03-28T00:00:00Z,"102.351334,","103.08567,"
2018-03-28T00:30:00Z,"89.198204,","87.89859,"
2018-03-28T01:00:00Z,"81.3567047,","80.31119,"
2018-03-28T01:30:00Z,"76.90077,","76.0105057,"
2018-03-28T02:00:00Z,"74.1329956,","73.269,"
2018-03-28T02:30:00Z,"72.3464,","71.54662,"
2018-03-28T03:00:00Z,"71.19528,","70.36973,"
2018-03-28T03:30:00Z,"70.38779,","69.57477,"
2018-03-28T04:00:00Z,"69.79261,","68.9972153,"
2018-03-28T04:30:00Z,"69.3353958,","68.576,"
2018-03-28T05:00:00Z,"69.01165,","68.2772,"
2018-03-28T05:30:00Z,"68.83023,","68,"
2018-03-28T06:00:00Z,"68.64526,","67.82,"
2018-03-28T06:30:00Z,"68.5003,","67.676,"
2018-03-28T07:00:00Z,"68.3652,","67.57388,"
2018-03-28T07:30:00Z,"68.29429,","67.532,"
2018-03-28T08:00:00Z,"68.1586,","67.4206543,"
2018-03-28T08:30:00Z,"68.144,","67.352,"
2018-03-28T09:00:00Z,"68.0564041,","67.352,"
2018-03-28T09:30:00Z,"68.01085,","67.3156,"
2018-03-28T10:00:00Z,"67.964,","67.2082,"
2018-03-28T10:30:00Z,"67.95376,","67.17602,"
2018-03-28T11:00:00Z,"138.50647,","67.66912,"
2018-03-28T11:30:00Z,"74.03746,","73.3676147,"
2018-03-28T12:00:00Z,"71.95803,","71.12471,"
2018-03-28T12:30:00Z,"70.7018,","69.88981,"
2018-03-28T13:00:00Z,"100.594383,","99.63677,"
2018-03-28T13:30:00Z,"85.29433,","83.8074646,"
2018-03-28T14:00:00Z,"78.70362,","77.701004,"
2018-03-28T14:30:00Z,"75.27392,","74.374054,"
2018-03-28T15:00:00Z,"73.19479,","72.3661957,"
2018-03-28T15:30:00Z,"71.96842,","71.21425,"
2018-03-28T16:00:00Z,"71.27164,","70.50839,"
2018-03-28T16:30:00Z,"70.9462051,","70.1604,"
2018-03-28T17:00:00Z,"70.7522,","70.0194,"
2018-03-28T17:30:00Z,"70.592,","69.836,"
2018-03-28T18:00:00Z,"70.5032,","69.764,"
2018-03-28T18:30:00Z,"70.484,","69.692,"
2018-03-28T19:00:00Z,"70.484,","69.692,"
2018-03-28T19:30:00Z,"70.49749,","69.7424,"
2018-03-28T20:00:00Z,"70.4965057,","69.764,"
2018-03-28T20:30:00Z,"70.56908,","69.8,"
2018-03-28T21:00:00Z,"70.6023,","69.9016953,"
2018-03-28T21:30:00Z,"70.628,","69.8763657,"
2018-03-28T22:00:00Z,"70.64382,","69.908,"
2018-03-28T22:30:00Z,"70.664,","69.908,"
2018-03-28T23:00:00Z,"70.628,","69.8717,"
2018-03-28T23:30:00Z,"70.592,","69.836,"
2018-03-29T00:00:00Z,"70.52,","69.76623,"
2018-03-29T00:30:00Z,"70.483696,","69.6957,"
2018-03-29T01:00:00Z,"70.412,","69.62,"
2018-03-29T01:30:00Z,"70.2682,","69.548,"
2018-03-29T02:00:00Z,"70.2337,","69.512,"
2018-03-29T02:30:00Z,"70.16,","69.41383,"
2018-03-29T03:00:00Z,"70.16,","69.404,"
2018-03-29T03:30:00Z,"70.15767,","69.4273,"
2018-03-29T04:00:00Z,"70.14457,","69.368,"
2018-03-29T04:30:00Z,"70.1579,","69.3701,"
2018-03-29T05:00:00Z,"70.124,","69.368,"
2018-03-29T05:30:00Z,"70.1154861,","69.332,"
2018-03-29T06:00:00Z,"70.052,","69.296,"
2018-03-29T06:30:00Z,"69.98712,","69.23112,"
