,supply,return
2018-01-02T06:30:00Z,"112.0969,","107.275459,"
2018-01-02T07:00:00Z,"126.178772,","106.951744,"
2018-01-02T07:30:00Z,"137.351608,","106.61673,"
2018-01-02T08:00:00Z,"133.76358,","107.722488,"
2018-01-02T08:30:00Z,"113.3582,","110.134689,"
2018-01-02T09:00:00Z,"111.552818,","110.667191,"
2018-01-02T09:30:00Z,"120.742851,","109.867737,"
2018-01-02T10:00:00Z,"135.985825,","108.1469,"
2018-01-02T10:30:00Z,"139.3732,","108.363243,"
2018-01-02T11:00:00Z,"119.252205,","110.264404,"
2018-01-02T11:30:00Z,"112.323112,","110.844795,"
2018-01-02T12:00:00Z,"130.229248,","111.041367,"
2018-01-02T12:30:00Z,"139.899414,","120.855415,"
2018-01-02T13:00:00Z,"139.5751,","120.4134,"
2018-01-02T13:30:00Z,"141.075714,","120.4875,"
2018-01-02T14:00:00Z,"142.138382,","119.832787,"
2018-01-02T14:30:00Z,"140.2218,","120.854851,"
2018-01-02T15:00:00Z,"141.337875,","120.91642,"
2018-01-02T15:30:00Z,"140.847763,","120.763229,"
2018-01-02T16:00:00Z,"139.183762,","120.945885,"
2018-01-02T16:30:00Z,"136.79187,","121.005875,"
2018-01-02T17:00:00Z,"139.445679,","121.454773,"
2018-01-02T17:30:00Z,"141.723923,","120.872887,"
2018-01-02T18:00:00Z,"140.919785,","120.646339,"
2018-01-02T18:30:00Z,"139.204956,","121.828362,"
2018-01-02T19:00:00Z,"137.760635,","121.816422,"
2018-01-02T19:30:00Z,"140.647385,","122.179634,"
2018-01-02T20:00:00Z,"141.459564,","121.729294,"
2018-01-02T20:30:00Z,"135.754333,","113.079231,"
2018-01-02T21:00:00Z,"141.108582,","120.989388,"
2018-01-02T21:30:00Z,"129.473663,","115.192375,"
2018-01-02T22:00:00Z,"139.816422,","122.452362,"
2018-01-02T22:30:00Z,"135.469254,","122.716484,"
2018-01-02T23:00:00Z,"139.7554,","121.335648,"
2018-01-02T23:30:00Z,"140.669632,","121.5404,"
2018-01-03T00:00:00Z,"140.042938,","121.575569,"
2018-01-03T00:30:00Z,"139.78009,","120.884,"
2018-01-03T01:00:00Z,"122.388451,","119.572144,"
2018-01-03T01:30:00Z,"95.98629,","94.16457,"
2018-01-03T02:00:00Z,"101.109909,","89.9962158,"
2018-01-03T02:30:00Z,"97.4642944,","93.29328,"
2018-01-03T03:00:00Z,"97.88865,","97.2085953,"
2018-01-03T03:30:00Z,"121.530991,","98.22577,"
2018-01-03T04:00:00Z,"125.384361,","99.08269,"
2018-01-03T04:30:00Z,"126.221581,","100.770859,"
2018-01-03T05:00:00Z,"120.194313,","102.387108,"
2018-01-03T05:30:00Z,"122.190826,","103.35894,"
2018-01-03T06:00:00Z,"126.09005,","104.316772,"
2018-01-03T06:30:00Z,"133.456146,","104.964638,"
2018-01-03T07:00:00Z,"136.73822,","106.152832,"
2018-01-03T07:30:00Z,"128.41803,","107.808975,"
2018-01-03T08:00:00Z,"113.299408,","109.558861,"
2018-01-03T08:30:00Z,"110.789436,","110.439873,"
2018-01-03T09:00:00Z,"114.752548,","110.313965,"
2018-01-03T09:30:00Z,"127.875946,","109.219933,"
2018-01-03T10:00:00Z,"139.713242,","108.366829,"
2018-01-03T10:30:00Z,"141.288452,","108.420952,"
2018-01-03T11:00:00Z,"120.808258,","110.393944,"
2018-01-03T11:30:00Z,"111.876167,","111.358536,"
2018-01-03T12:00:00Z,"132.4879,","111.293465,"
2018-01-03T12:30:00Z,"136.868,","119.134483,"
2018-01-03T13:00:00Z,"139.356461,","120.112152,"
2018-01-03T13:30:00Z,"138.300735,","120.827629,"
2018-01-03T14:00:00Z,"140.42485,","120.92215,"
2018-01-03T14:30:00Z,"141.054764,","120.766716,"
2018-01-03T15:00:00Z,"139.683411,","121.892662,"
2018-01-03T15:30:00Z,"140.722733,","122.093979,"
2018-01-03T16:00:00Z,"138.45549,","121.050293,"
2018-01-03T16:30:00Z,"140.200378,","122.602516,"
2018-01-03T17:00:00Z,"103.690331,","102.012672,"
2018-01-03T17:30:00Z,"131.370544,","111.219337,"
2018-01-03T18:00:00Z,"119.672417,","110.209007,"
2018-01-03T18:30:00Z,"121.23661,","107.697945,"
2018-01-03T19:00:00Z,"111.79792,","106.634491,"
2018-01-03T19:30:00Z,"123.885246,","107.657669,"
2018-01-03T20:00:00Z,"117.71611,","107.113594,"
2018-01-03T20:30:00Z,"124.009315,","107.463326,"
2018-01-03T21:00:00Z,"122.848824,","107.434311,"
2018-01-03T21:30:00Z,"123.189293,","107.031372,"
2018-01-03T22:00:00Z,"146.024017,","121.296371,"
2018-01-03T22:30:00Z,"130.467041,","108.633179,"
2018-01-03T23:00:00Z,"113.6623,","111.7903,"
2018-01-03T23:30:00Z,"133.800842,","116.686462,"
2018-01-04T00:00:00Z,"116.060577,","110.50869,"
2018-01-04T00:30:00Z,"140.9936,","120.329613,"
2018-01-04T01:00:00Z,"109.306351,","107.506348,"
2018-01-04T01:30:00Z,"91.13174,","89.65754,"
2018-01-04T02:00:00Z,"91.94356,","88.15274,"
2018-01-04T02:30:00Z,"94.07869,","89.80342,"
2018-01-04T03:00:00Z,"110.31826,","94.85958,"
2018-01-04T03:30:00Z,"109.393837,","94.5609741,"
2018-01-04T04:00:00Z,"100.810295,","96.5548859,"
2018-01-04T04:30:00Z,"115.469337,","99.37919,"
2018-01-04T05:00:00Z,"117.796242,","98.97475,"
2018-01-04T05:30:00Z,"104.230309,","101.472771,"
2018-01-04T06:00:00Z,"115.8246,","100.299332,"
2018-01-04T06:30:00Z,"106.260612,","102.423119,"
2018-01-04T07:00:00Z,"120.984795,","101.890457,"
2018-01-04T07:30:00Z,"120.605247,","102.948975,"
2018-01-04T08:00:00Z,"120.272,","104.155067,"
2018-01-04T08:30:00Z,"116.341148,","104.383652,"
2018-01-04T09:00:00Z,"110.328194,","103.863373,"
2018-01-04T09:30:00Z,"113.489563,","103.456436,"
2018-01-04T10:00:00Z,"119.87146,","104.547318,"
2018-01-04T10:30:00Z,"120.408768,","104.676582,"
2018-01-04T11:00:00Z,"115.537117,","105.128296,"
2018-01-04T11:30:00Z,"115.899254,","105.199753,"
2018-01-04T12:00:00Z,"146.554077,","105.180809,"
2018-01-04T12:30:00Z,"139.908768,","121.293411,"
2018-01-04T13:00:00Z,"140.2308,","122.044136,"
2018-01-04T13:30:00Z,"141.929642,","121.02491,"
2018-01-04T14:00:00Z,"138.120636,","120.182877,"
2018-01-04T14:30:00Z,"137.782379,","121.503189,"
2018-01-04T15:00:00Z,"138.970932,","121.661049,"
2018-01-04T15:30:00Z,"142.001648,","122.878357,"
2018-01-04T16:00:00Z,"140.258377,","121.657112,"
2018-01-04T16:30:00Z,"143.808792,","120.676559,"
2018-01-04T17:00:00Z,"139.53894,","120.804626,"
2018-01-04T17:30:00Z,"136.901123,","121.50589,"
2018-01-04T18:00:00Z,"140.352676,","121.780266,"
2018-01-04T18:30:00Z,"124.704033,","111.816147,"
2018-01-04T19:00:00Z,"126.407104,","115.251945,"
2018-01-04T19:30:00Z,"117.474846,","113.037735,"
2018-01-04T20:00:00Z,"137.739258,","121.17926,"
2018-01-04T20:30:00Z,"135.800339,","113.627113,"
2018-01-04T21:00:00Z,"140.471558,","114.497726,"
2018-01-04T21:30:00Z,"139.812973,","122.259315,"
2018-01-04T22:00:00Z,"140.58342,","123.06929,"
2018-01-04T22:30:00Z,"143.657623,","121.16787,"
2018-01-04T23:00:00Z,"141.264084,","120.927162,"
2018-01-04T23:30:00Z,"137.240952,","121.447411,"
2018-01-05T00:00:00Z,"140.208786,","121.151512,"
2018-01-05T00:30:00Z,"139.337219,","121.31559,"
2018-01-05T01:00:00Z,"122.014229,","118.126366,"
2018-01-05T01:30:00Z,"95.2735062,","93.59951,"
2018-01-05T02:00:00Z,"94.17921,","89.26687,"
2018-01-05T02:30:00Z,"119.580276,","95.37457,"
2018-01-05T03:00:00Z,"114.623306,","97.44845,"
2018-01-05T03:30:00Z,"109.756821,","97.76461,"
2018-01-05T04:00:00Z,"103.438423,","101.750893,"
2018-01-05T04:30:00Z,"109.9298,","102.646629,"
2018-01-05T05:00:00Z,"128.832916,","102.085136,"
2018-01-05T05:30:00Z,"119.222054,","103.092735,"
2018-01-05T06:00:00Z,"117.691307,","104.575638,"
2018-01-05T06:30:00Z,"123.333443,","105.425484,"
2018-01-05T07:00:00Z,"130.4699,","105.74939,"
2018-01-05T07:30:00Z,"143.731339,","106.432228,"
2018-01-05T08:00:00Z,"139.356262,","108.334785,"
2018-01-05T08:30:00Z,"117.307861,","110.732475,"
2018-01-05T09:00:00Z,"110.460228,","110.967773,"
2018-01-05T09:30:00Z,"111.661041,","110.918961,"
2018-01-05T10:00:00Z,"114.442589,","109.925339,"
2018-01-05T10:30:00Z,"126.468323,","108.801971,"
2018-01-05T11:00:00Z,"135.9903,","107.751167,"
2018-01-05T11:30:00Z,"139.741318,","107.430832,"
2018-01-05T12:00:00Z,"153.617035,","108.104546,"
2018-01-05T12:30:00Z,"120.856529,","124.620369,"
2018-01-05T13:00:00Z,"164.257156,","115.577675,"
2018-01-05T13:30:00Z,"118.320915,","124.174416,"
2018-01-05T14:00:00Z,"169.477829,","115.995026,"
2018-01-05T14:30:00Z,"118.633743,","123.683556,"
2018-01-05T15:00:00Z,"166.461014,","117.485344,"
2018-01-05T15:30:00Z,"120.774811,","124.333824,"
2018-01-05T16:00:00Z,"156.107666,","118.860542,"
2018-01-05T16:30:00Z,"122.113876,","122.900864,"
2018-01-05T17:00:00Z,"163.136948,","119.046921,"
2018-01-05T17:30:00Z,"120.797272,","124.289993,"
2018-01-05T18:00:00Z,"164.805725,","118.241257,"
2018-01-05T18:30:00Z,"120.596,","126.442535,"
2018-01-05T19:00:00Z,"159.152,","117.5429,"
2018-01-05T19:30:00Z,"122.83107,","125.096,"
2018-01-05T20:00:00Z,"155.421371,","117.867233,"
2018-01-05T20:30:00Z,"129.160873,","124.728348,"
2018-01-05T21:00:00Z,"141.165848,","118.868073,"
2018-01-05T21:30:00Z,"137.944717,","123.35994,"
2018-01-05T22:00:00Z,"129.345764,","121.22361,"
