DT,HDD,CDD
2018-01-03T21:00:00Z,"43.3190956,",0
2018-01-03T21:30:00Z,"45.92743,",0
2018-01-03T22:00:00Z,"75.69064,",0
2018-01-03T22:30:00Z,"64.48059,",0
2018-01-03T23:00:00Z,"5.39165068,",0
2018-01-03T23:30:00Z,"72.84559,",0
2018-01-04T00:00:00Z,"15.5647621,",0
2018-01-04T00:30:00Z,"75.40431,",0
2018-01-04T01:00:00Z,"4.987615,",0
2018-01-04T01:30:00Z,"3.74981737,",0
2018-01-04T02:00:00Z,"10.5324478,",0
2018-01-04T02:30:00Z,"12.04698,",0
2018-01-04T03:00:00Z,"42.7296638,",0
2018-01-04T03:30:00Z,"41.9751854,",0
2018-01-04T04:00:00Z,"11.8235865,",0
2018-01-04T04:30:00Z,"44.5320358,",0
2018-01-04T05:00:00Z,"53.4311562,",0
2018-01-04T05:30:00Z,"7.59995365,",0
2018-01-04T06:00:00Z,"44.3883,",0
2018-01-04T06:30:00Z,"10.5540094,",0
2018-01-04T07:00:00Z,"54.1129341,",0
2018-01-04T07:30:00Z,"50.4434128,",0
2018-01-04T08:00:00Z,"45.620533,",0
2018-01-04T08:30:00Z,"33.84319,",0
2018-01-04T09:00:00Z,"18.3273373,",0
2018-01-04T09:30:00Z,"28.79692,",0
2018-01-04T10:00:00Z,"44.2832,",0
2018-01-04T10:30:00Z,"44.8362961,",0
2018-01-04T11:00:00Z,"29.366581,",0
2018-01-04T11:30:00Z,"30.1256275,",0
2018-01-04T12:00:00Z,"122.579666,",0
2018-01-04T12:30:00Z,"54.7697563,",0
2018-01-04T13:00:00Z,"53.5298958,",0
2018-01-04T13:30:00Z,"61.931366,",0
2018-01-04T14:00:00Z,"52.1625557,",0
2018-01-04T14:30:00Z,"47.1698074,",0
2018-01-04T15:00:00Z,"50.13867,",0
2018-01-04T15:30:00Z,"55.7124557,",0
2018-01-04T16:00:00Z,"54.4328537,",0
2018-01-04T16:30:00Z,"68.2892,",0
2018-01-04T17:00:00Z,"55.043438,",0
2018-01-04T17:30:00Z,"44.9404144,",0
2018-01-04T18:00:00Z,"54.45259,",0
2018-01-04T18:30:00Z,"37.46229,",0
2018-01-04T19:00:00Z,"31.94917,",0
2018-01-04T19:30:00Z,"12.4762926,",0
2018-01-04T20:00:00Z,"48.34509,",0
